iter	RMSE
0	2.493353972
1	2.481275608
2	2.470615163
3	2.460874243
4	2.451996842
5	2.443930498
6	2.439471783
7	2.431983584
8	2.425303759
9	2.420738858
10	2.415353319
11	2.405550207
12	2.402384015
13	2.396791697
14	2.388103072
15	2.384514629
16	2.379495673
17	2.372226958
18	2.368789493
19	2.364864031
20	2.357530991
21	2.354892662
22	2.350604285
23	2.347549225
24	2.34517481
25	2.342486686
26	2.335557647
27	2.329338419
28	2.325993482
29	2.322960427
30	2.317396744
31	2.311269199
32	2.308239577
33	2.302013025
34	2.299833755
35	2.295999377
36	2.293119402
37	2.290900021
38	2.286231212
39	2.284312921
40	2.281176785
41	2.276265131
42	2.273667598
43	2.269102346
44	2.263243164
45	2.260788046
46	2.258355644
47	2.253039346
48	2.250752045
49	2.249269414
50	2.244834902
51	2.242799159
52	2.240747952
53	2.236810999
54	2.234707715
55	2.232549511
56	2.228635719
57	2.226527284
58	2.224351541
59	2.220808395
60	2.219139063
61	2.217080591
62	2.215375332
63	2.213401694
64	2.211240051
65	2.208539631
66	2.205559872
67	2.203629139
68	2.202318383
69	2.199030149
70	2.195922673
71	2.194122545
72	2.192138392
73	2.1896593
74	2.188024679
75	2.184483821
76	2.183370281
77	2.180748994
78	2.179506008
79	2.175886074
80	2.172580297
81	2.171694692
82	2.167152582
83	2.164704595
84	2.162850186
85	2.160973899
86	2.159437969
87	2.158248434
88	2.156717855
89	2.15544847
90	2.151506826
91	2.150139446
92	2.148684205
93	2.147208054
94	2.145702036
95	2.143790581
96	2.142956084
97	2.141236936
98	2.140330979
99	2.139613542
100	2.137737164
101	2.134137716
102	2.133202425
103	2.132405164
104	2.128611097
105	2.126771293
106	2.12528432
107	2.123994016
108	2.120656824
109	2.119953588
110	2.115141865
111	2.113607201
112	2.112594276
113	2.110657631
114	2.108532389
115	2.106395125
116	2.105171258
117	2.104409788
118	2.103178304
119	2.102243755
120	2.101022642
121	2.099349102
122	2.098263634
123	2.095851857
124	2.094777821
125	2.093240369
126	2.092222227
127	2.09048895
128	2.08929451
129	2.087014017
130	2.085822107
131	2.085273776
132	2.084487181
133	2.083786399
134	2.082039149
135	2.080696473
136	2.08007292
137	2.079501136
138	2.078440382
139	2.077644233
140	2.076801463
141	2.074962072
142	2.073335301
143	2.071261383
144	2.070242624
145	2.069577574
146	2.068706091
147	2.065805807
148	2.06481525
149	2.063503212
150	2.062529647
151	2.061637554
152	2.059756854
153	2.057190482
154	2.05544623
155	2.052757255
156	2.0514373
157	2.050445567
158	2.049951995
159	2.047554901
160	2.047027981
161	2.046244144
162	2.045539347
163	2.044953828
164	2.043671005
165	2.043062334
166	2.04241501
167	2.040225458
168	2.03650635
169	2.033171783
170	2.031821696
171	2.029856105
172	2.028635225
173	2.028212316
174	2.027097031
175	2.026208377
176	2.025247856
177	2.024609357
178	2.024050531
179	2.022473392
180	2.021575306
181	2.020635043
182	2.018127888
183	2.017647758
184	2.015488735
185	2.013208015
186	2.012387608
187	2.010574923
188	2.010100429
189	2.006725906
190	2.005063685
191	2.004389043
192	2.000836721
193	1.999788525
194	1.999130922
195	1.998375359
196	1.9979382
197	1.996741663
198	1.995287757
199	1.993910799
200	1.991220402
201	1.990652496
202	1.989549313
203	1.987122915
204	1.986437581
205	1.984099504
206	1.982877665
207	1.982489715
208	1.98212343
209	1.98162151
210	1.980795343
211	1.979452158
212	1.979006675
213	1.97876294
214	1.977399061
215	1.975144425
216	1.973827371
217	1.972941291
218	1.971797196
219	1.9705827
220	1.970108642
221	1.969291761
222	1.968383428
223	1.965663116
224	1.963569091
225	1.959835628
226	1.959216213
227	1.958562043
228	1.958000845
229	1.95746531
230	1.956695282
231	1.9562864
232	1.955760963
233	1.955502542
234	1.953795884
235	1.952121795
236	1.951900686
237	1.951325588
238	1.949537934
239	1.948423142
240	1.946840792
241	1.945676333
242	1.945340078
243	1.944248795
244	1.943360736
245	1.942350732
246	1.942069227
247	1.941055262
248	1.940168188
249	1.939395861
250	1.93785209
251	1.93704996
252	1.936564209
253	1.93545922
254	1.931734488
255	1.931404417
256	1.928419678
257	1.925607246
258	1.924731597
259	1.92396999
260	1.923521305
261	1.922868818
262	1.921876484
263	1.921361348
264	1.92043092
265	1.919711636
266	1.919118211
267	1.917379072
268	1.916643952
269	1.91619692
270	1.915574124
271	1.915200822
272	1.914671304
273	1.911930536
274	1.909532399
275	1.908176328
276	1.907708674
277	1.907245677
278	1.906504702
279	1.905234095
280	1.904422641
281	1.904084023
282	1.903188312
283	1.901898732
284	1.901590934
285	1.901229242
286	1.90080541
287	1.899406976
288	1.899014485
289	1.898269759
290	1.897778146
291	1.897458735
292	1.896900005
293	1.894710888
294	1.894155486
295	1.892479498
296	1.891979745
297	1.891533965
298	1.890611911
299	1.890069111
300	1.88907889
301	1.888586636
302	1.888165782
303	1.8868722
304	1.885942777
305	1.885475049
306	1.88507968
307	1.884661237
308	1.884294239
309	1.882887452
310	1.881990588
311	1.881788292
312	1.881306748
313	1.880791372
314	1.880354106
315	1.878828326
316	1.8784107
317	1.877371713
318	1.876699315
319	1.876462225
320	1.87458535
321	1.873698487
322	1.872863444
323	1.872484717
324	1.871365433
325	1.869692397
326	1.868744409
327	1.868130877
328	1.867735361
329	1.866769138
330	1.866102093
331	1.865703032
332	1.86487136
333	1.864069331
334	1.863668998
335	1.863383359
336	1.862759307
337	1.861856119
338	1.861498836
339	1.86074188
340	1.860546162
341	1.859808518
342	1.859086135
343	1.858479285
344	1.857032233
345	1.856731803
346	1.856156803
347	1.855998484
348	1.853981534
349	1.852732909
350	1.851787098
351	1.849904872
352	1.84928816
353	1.848134261
354	1.846115109
355	1.845823088
356	1.84507406
357	1.844711042
358	1.844047284
359	1.842744885
360	1.842385059
361	1.841892736
362	1.841565565
363	1.841414407
364	1.840242583
365	1.839164548
366	1.83889188
367	1.837249902
368	1.836846151
369	1.835165968
370	1.834650774
371	1.833915991
372	1.832805359
373	1.832022041
374	1.831438803
375	1.831072482
376	1.830750029
377	1.830336111
378	1.830035366
379	1.829450836
380	1.828872188
381	1.827692262
382	1.82736272
383	1.826791699
384	1.825846141
385	1.825395022
386	1.825052176
387	1.82339197
388	1.82313497
389	1.82128274
390	1.820515406
391	1.82001061
392	1.819643095
393	1.819312579
394	1.819006226
395	1.818727017
396	1.818455009
397	1.817205612
398	1.816446953
399	1.815899643
400	1.815523572
401	1.815249504
402	1.814984852
403	1.814142764
404	1.811775233
405	1.811010644
406	1.810699163
407	1.809215611
408	1.808323579
409	1.806711288
410	1.806236573
411	1.80574894
412	1.805081064
413	1.804529369
414	1.804006339
415	1.803038852
416	1.802764188
417	1.80212695
418	1.801458606
419	1.800587587
420	1.800269431
421	1.799770935
422	1.798840408
423	1.798209472
424	1.797883209
425	1.797171454
426	1.796191409
427	1.795703724
428	1.795338521
429	1.794299806
430	1.793817575
431	1.793687561
432	1.793080691
433	1.792738472
434	1.791626489
435	1.790860556
436	1.790464425
437	1.790130651
438	1.789129291
439	1.788855412
440	1.788573699
441	1.787992537
442	1.787587747
443	1.787054126
444	1.786862793
445	1.786259257
446	1.785903744
447	1.785666565
448	1.785088552
449	1.78480088
450	1.784204844
451	1.783703696
452	1.783037295
453	1.782533217
454	1.782245818
455	1.781692604
456	1.781454405
457	1.780376825
458	1.78004455
459	1.779685043
460	1.779083312
461	1.777963485
462	1.777157252
463	1.776609696
464	1.776384868
465	1.776129229
466	1.775149404
467	1.77487177
468	1.774412865
469	1.774087374
470	1.773805307
471	1.773250423
472	1.772716104
473	1.771790958
474	1.771544838
475	1.771256084
476	1.771041583
477	1.770672245
478	1.770077646
479	1.769914274
480	1.769325764
481	1.768746971
482	1.768072221
483	1.767890827
484	1.767556797
485	1.766267444
486	1.765089337
487	1.763228414
488	1.762961929
489	1.760044201
490	1.759485957
491	1.759289161
492	1.75905352
493	1.758709141
494	1.758376973
495	1.75748621
496	1.757280246
497	1.756847986
498	1.756608526
499	1.756072473
500	1.755569972
501	1.755167634
502	1.754391065
503	1.753970023
504	1.753861657
505	1.753054373
506	1.75281353
507	1.752187311
508	1.751852326
509	1.751565564
510	1.751066242
511	1.750803876
512	1.750110197
513	1.749249658
514	1.748672997
515	1.748368387
516	1.748118417
517	1.747614161
518	1.747338833
519	1.746539214
520	1.746369754
521	1.74612756
522	1.745945079
523	1.744843684
524	1.742239739
525	1.741802866
526	1.741290995
527	1.740869405
528	1.740580368
529	1.739934139
530	1.739461811
531	1.739195826
532	1.738916173
533	1.738660407
534	1.73836021
535	1.737823455
536	1.736789579
537	1.736687023
538	1.736273028
539	1.735868571
540	1.735133817
541	1.734506012
542	1.733742143
543	1.733477927
544	1.733214196
545	1.732957773
546	1.732684683
547	1.73256796
548	1.732385108
549	1.73215117
550	1.731295619
551	1.731124265
552	1.730866236
553	1.730635743
554	1.72996799
555	1.729739154
556	1.729251193
557	1.728588107
558	1.728056446
559	1.727165125
560	1.72643345
561	1.725828231
562	1.725608609
563	1.725395392
564	1.72513416
565	1.724589457
566	1.724351171
567	1.724162507
568	1.723997892
569	1.723789992
570	1.723351228
571	1.722962728
572	1.722793886
573	1.722498124
574	1.721960025
575	1.721548717
576	1.721314529
577	1.720837681
578	1.720440818
579	1.719618648
580	1.719255115
581	1.718952259
582	1.718181236
583	1.717984967
584	1.71776141
585	1.717574465
586	1.716990721
587	1.71658505
588	1.716223442
589	1.715895915
590	1.715593239
591	1.713011196
592	1.712644444
593	1.712441958
594	1.712008741
595	1.711755375
596	1.71132926
597	1.710732791
598	1.710198398
599	1.709904789
600	1.709551399
601	1.709286632
602	1.708958165
603	1.708295875
604	1.708086432
605	1.707639969
606	1.70748279
607	1.707079291
608	1.706847686
609	1.706431772
610	1.706309252
611	1.706138752
612	1.705952129
613	1.705745253
614	1.704589716
615	1.703233126
616	1.70254531
617	1.70224215
618	1.69981513
619	1.699427101
