iter	Passed	Remaining
0	61	366490
1	114	342707
2	166	332470
3	217	325663
4	268	322456
5	322	322605
6	374	320595
7	427	319888
8	478	318333
9	527	316183
10	578	314839
11	626	312746
12	675	311204
13	725	310149
14	772	308407
15	819	306534
16	870	306382
17	920	305927
18	970	305375
19	1017	304335
20	1073	305613
21	1124	305440
22	1180	306657
23	1226	305356
24	1270	303619
25	1313	301845
26	1357	300242
27	1401	298976
28	1449	298349
29	1494	297462
30	1542	297033
31	1591	296883
32	1641	296743
33	1693	297074
34	1743	297211
35	1789	296530
36	1840	296573
37	1890	296564
38	1937	296164
39	1986	295944
40	2035	295903
41	2084	295724
42	2135	295806
43	2182	295477
44	2236	295948
45	2283	295505
46	2331	295311
47	2382	295398
48	2434	295616
49	2480	295189
50	2531	295273
51	2580	295156
52	2626	294760
53	2678	294981
54	2729	295048
55	2785	295628
56	2832	295325
57	2884	295516
58	2936	295730
59	2986	295701
60	3039	295954
61	3091	296047
62	3143	296210
63	3193	296180
64	3243	296133
65	3291	295969
66	3338	295604
67	3386	295389
68	3432	295034
69	3477	294592
70	3526	294518
71	3578	294623
72	3630	294727
73	3677	294536
74	3728	294570
75	3780	294707
76	3836	295113
77	3884	294932
78	3934	294896
79	3984	294825
80	4032	294650
81	4081	294543
82	4131	294539
83	4184	294696
84	4233	294622
85	4282	294476
86	4333	294555
87	4381	294378
88	4431	294338
89	4485	294533
90	4536	294584
91	4590	294771
92	4639	294695
93	4691	294792
94	4741	294720
95	4789	294580
96	4841	294626
97	4894	294744
98	4946	294855
99	4999	294944
100	5048	294887
101	5098	294838
102	5150	294891
103	5198	294737
104	5247	294615
105	5300	294734
106	5349	294633
107	5399	294565
108	5450	294551
109	5497	294341
110	5558	294880
111	5613	295133
112	5661	294945
113	5714	295025
114	5768	295182
115	5819	295194
116	5869	295112
117	5917	294975
118	5966	294855
119	6019	294948
120	6070	294932
121	6119	294841
122	6175	295074
123	6225	295004
124	6271	294754
125	6319	294598
126	6367	294475
127	6415	294312
128	6468	294380
129	6521	294472
130	6569	294311
131	6619	294245
132	6665	294031
133	6711	293810
134	6764	293890
135	6818	293991
136	6864	293762
137	6913	293658
138	6963	293624
139	7018	293760
140	7072	293905
141	7123	293857
142	7171	293725
143	7218	293562
144	7263	293298
145	7307	293001
146	7355	292866
147	7404	292781
148	7449	292519
149	7493	292245
150	7543	292209
151	7590	292050
152	7642	292058
153	7693	292034
154	7743	292009
155	7792	291930
156	7839	291769
157	7889	291723
158	7939	291647
159	7989	291630
160	8040	291606
161	8090	291569
162	8137	291403
163	8186	291311
164	8234	291200
165	8284	291167
166	8330	290951
167	8381	290949
168	8433	290966
169	8483	290931
170	8534	290923
171	8589	291037
172	8636	290889
173	8684	290772
174	8732	290651
175	8781	290581
176	8834	290627
177	8885	290633
178	8935	290563
179	8980	290382
180	9034	290438
181	9082	290337
182	9133	290310
183	9176	290044
184	9220	289824
185	9270	289773
186	9317	289625
187	9366	289573
188	9410	289333
189	9459	289249
190	9509	289205
191	9561	289249
192	9610	289147
193	9659	289085
194	9704	288895
195	9754	288852
196	9803	288778
197	9852	288696
198	9902	288671
199	9948	288508
200	9999	288496
201	10050	288473
202	10100	288425
203	10155	288524
204	10206	288511
205	10259	288554
206	10305	288417
207	10354	288331
208	10402	288230
209	10453	288220
210	10503	288177
211	10552	288116
212	10598	287952
213	10647	287878
214	10698	287859
215	10751	287891
216	10803	287902
217	10850	287782
218	10898	287683
219	10944	287554
220	10989	287377
221	11039	287328
222	11088	287265
223	11141	287295
224	11192	287274
225	11242	287239
226	11293	287209
227	11342	287146
228	11393	287124
229	11435	286892
230	11482	286758
231	11531	286692
232	11585	286744
233	11632	286645
234	11686	286694
235	11739	286728
236	11787	286640
237	11837	286595
238	11889	286589
239	11940	286564
240	11989	286495
241	12038	286433
242	12085	286330
243	12136	286303
244	12186	286250
245	12237	286239
246	12288	286218
247	12333	286066
248	12381	285969
249	12429	285888
250	12481	285878
251	12529	285802
252	12576	285683
253	12625	285616
254	12677	285612
255	12723	285484
256	12772	285409
257	12820	285322
258	12865	285171
259	12913	285080
260	12957	284907
261	13010	284942
262	13060	284908
263	13106	284775
264	13153	284662
265	13199	284529
266	13242	284340
267	13288	284206
268	13340	284209
269	13388	284140
270	13433	283993
271	13478	283843
272	13530	283852
273	13580	283798
274	13630	283754
275	13678	283686
276	13725	283580
277	13774	283510
278	13820	283388
279	13875	283458
280	13922	283364
281	13973	283327
282	14021	283255
283	14069	283164
284	14116	283063
285	14162	282959
286	14211	282888
287	14263	282902
288	14315	282891
289	14368	282907
290	14416	282827
291	14461	282694
292	14515	282727
293	14567	282719
294	14614	282630
295	14668	282672
296	14715	282575
297	14766	282549
298	14818	282534
299	14870	282533
300	14920	282506
301	14968	282413
302	15029	282582
303	15080	282561
304	15129	282499
305	15182	282513
306	15223	282307
307	15272	282235
308	15315	282071
309	15360	281947
310	15406	281821
311	15452	281711
312	15500	281630
313	15545	281508
314	15593	281428
315	15643	281389
316	15692	281327
317	15747	281381
318	15796	281318
319	15844	281243
320	15898	281267
321	15947	281206
322	16002	281249
323	16056	281290
324	16103	281192
325	16155	281187
326	16207	281179
327	16254	281080
328	16302	281001
329	16354	281003
330	16403	280943
331	16447	280788
332	16496	280745
333	16545	280682
334	16596	280660
335	16644	280571
336	16690	280467
337	16738	280402
338	16790	280392
339	16839	280329
340	16886	280234
341	16933	280150
342	16984	280115
343	17035	280089
344	17087	280090
345	17134	279994
346	17178	279863
347	17220	279681
348	17263	279527
349	17306	279378
350	17350	279233
351	17397	279146
352	17442	279023
353	17494	279016
354	17542	278951
355	17593	278926
356	17642	278867
357	17687	278748
358	17735	278680
359	17779	278544
360	17832	278546
361	17877	278440
362	17926	278372
363	17970	278244
364	18016	278142
365	18073	278209
366	18120	278122
367	18166	278029
368	18212	277922
369	18260	277848
370	18313	277868
371	18358	277751
372	18412	277767
373	18462	277727
374	18513	277700
375	18559	277599
376	18608	277541
377	18655	277467
378	18706	277439
379	18755	277380
380	18802	277295
381	18854	277295
382	18899	277182
383	18948	277119
384	19002	277147
385	19048	277042
386	19098	277000
387	19149	276974
388	19191	276824
389	19234	276682
390	19279	276570
391	19324	276455
392	19368	276339
393	19412	276212
394	19465	276212
395	19511	276111
396	19556	276003
397	19602	275905
398	19656	275925
399	19708	275923
400	19754	275820
401	19801	275736
402	19845	275621
403	19895	275576
404	19943	275510
405	19996	275521
406	20049	275519
407	20095	275422
408	20143	275365
409	20202	275441
410	20247	275336
411	20297	275294
412	20347	275259
413	20396	275209
414	20448	275189
415	20496	275123
416	20543	275048
417	20589	274959
418	20638	274899
419	20688	274855
420	20735	274783
421	20783	274719
422	20827	274604
423	20875	274531
424	20930	274553
425	20978	274493
426	21028	274451
427	21076	274390
428	21123	274307
429	21172	274257
430	21220	274190
431	21264	274072
432	21311	274002
433	21356	273894
434	21405	273848
435	21458	273835
436	21505	273766
437	21550	273662
438	21603	273655
439	21655	273652
440	21701	273560
441	21751	273518
442	21804	273513
443	21851	273444
444	21900	273381
445	21950	273343
